"TOA5","T_leaf_FS","CR300","24888","CR300-CELL215.Std.11.00","CPU:Tleaf32x_8100m_20240704.CR300","64932","Status"
"TIMESTAMP","RECORD","OSVersion","OSDate","OSSignature","SerialNumber","RevBoard","StationName","ProgName","StartTime","RunSignature","ProgSignature","WatchdogErrors","PanelTemp","Battery","LithiumBattery","CompileResults","StartUpCode","ProgErrors","VarOutOfBound","SkippedScan","WiFiUpdateReq","DataStorageSize","DataStorageFree","SerialFlashErrors","MemorySize","MemoryFree","CPUDriveFree","CommsMemFree","FullMemReset","MeasureTime","ProcessTime","MaxProcTime","PortStatus(1)","PortStatus(2)","PortConfig(1)","PortConfig(2)","SW12Volts","PakBusRoutes","CalGainSlow2500","CalGainMed2500","CalGainFast2500","CalGainSlow34","CalGainMed34","CalGainFast34","CalOffset"
"TS","RN","","","","","","","","","","","","DegC","Volts","","","","","","","","bytes","bytes","","bytes","bytes","bytes","","","usec","usec","usec","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-07-22 13:31:55.584",2,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,21.30086,12.59604,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4381221,5301233,0,0,"Output","Output",0,"113,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-22 13:59:51.337",3,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,23.29099,12.59628,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4382254,5301233,0,0,"Output","Output",0,"113,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-23 13:31:51.282",4,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,17.94423,12.57834,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4379261,5301233,0,0,"Output","Output",0,"114,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-23 13:59:51.277",5,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,19.89949,12.56743,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4380273,5301233,0,0,"Output","Output",0,"114,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-24 13:31:51.275",6,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,20.90173,12.55604,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4380275,5301233,0,0,"Output","Output",0,"115,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-24 13:59:50.756",7,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,22.99418,12.54149,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4382202,5301233,0,0,"Output","Output",0,"115,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-25 13:31:51.323",8,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,23.53648,12.53907,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4382272,5301233,0,0,"Output","Output",0,"116,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-25 13:59:51.251",9,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,25.92199,12.52961,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4385288,5301233,0,0,"Output","Output",0,"116,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
